region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023,5/31/2023
394913,1,New York,NY,"$2,806.21 ","$3,322.35 ","$2,807.47 ","$2,545.46 ","$2,550.35 ","$2,608.29 ","$2,753.94 ","$2,928.70 ","$3,047.40 ","$3,144.87 ","$3,221.95 ","$3,259.94 ","$3,301.45 ","$3,330.41 ","$3,335.93 "
753899,2,Los Angeles,CA,"$2,605.36 ","$2,953.67 ","$2,379.23 ","$2,390.88 ","$2,416.39 ","$2,474.83 ","$2,593.86 ","$2,708.98 ","$2,792.97 ","$2,869.97 ","$2,904.67 ","$2,921.36 ","$2,946.62 ","$2,956.45 ","$2,954.41 "
394463,3,Chicago,IL,"$1,724.03 ","$1,804.97 ","$1,682.69 ","$1,666.31 ","$1,666.14 ","$1,715.95 ","$1,774.09 ","$1,822.69 ","$1,867.97 ","$1,903.28 ","$1,935.64 ","$1,974.03 ","$2,008.68 ","$2,024.72 ","$2,030.43 "
394514,4,Dallas,TX,"$1,418.77 ","$1,413.49 ","$1,404.39 ","$1,427.87 ","$1,460.37 ","$1,514.28 ","$1,598.54 ","$1,678.09 ","$1,732.31 ","$1,777.50 ","$1,803.93 ","$1,812.62 ","$1,829.13 ","$1,836.82 ","$1,832.29 "
394692,5,Houston,TX,"$1,414.69 ","$1,400.98 ","$1,386.61 ","$1,404.63 ","$1,415.22 ","$1,455.67 ","$1,522.75 ","$1,568.51 ","$1,600.15 ","$1,625.87 ","$1,634.47 ","$1,646.77 ","$1,670.85 ","$1,683.35 ","$1,685.80 "
395209,6,Washington,VA,"$2,010.80 ","$2,105.45 ","$2,070.35 ","$1,931.26 ","$1,940.60 ","$1,985.62 ","$2,069.87 ","$2,146.36 ","$2,187.12 ","$2,222.99 ","$2,243.33 ","$2,262.85 ","$2,294.85 ","$2,313.43 ","$2,316.99 "
394974,7,Philadelphia,PA,"$1,552.61 ","$1,549.12 ","$1,547.01 ","$1,560.60 ","$1,576.84 ","$1,613.99 ","$1,671.00 ","$1,729.56 ","$1,770.66 ","$1,802.47 ","$1,822.51 ","$1,833.73 ","$1,851.71 ","$1,862.39 ","$1,864.44 "
394856,8,Miami,FL,"$1,881.68 ","$1,874.21 ","$1,866.98 ","$1,898.13 ","$1,968.95 ","$2,086.89 ","$2,281.71 ","$2,460.92 ","$2,612.28 ","$2,718.65 ","$2,766.96 ","$2,803.59 ","$2,822.79 ","$2,832.20 ","$2,829.41 "
394347,9,Atlanta,GA,"$1,445.34 ","$1,448.43 ","$1,457.49 ","$1,498.98 ","$1,552.60 ","$1,630.28 ","$1,734.80 ","$1,820.07 ","$1,865.94 ","$1,902.49 ","$1,920.52 ","$1,934.77 ","$1,967.80 ","$1,987.55 ","$1,990.64 "
394404,10,Boston,MA,"$2,563.42 ","$2,863.86 ","$2,590.15 ","$2,377.34 ","$2,407.16 ","$2,487.32 ","$2,582.06 ","$2,691.93 ","$2,742.75 ","$2,790.29 ","$2,856.16 ","$2,919.37 ","$2,976.41 ","$3,017.30 ","$3,025.75 "
394976,11,Phoenix,AZ,"$1,402.56 ","$1,398.47 ","$1,416.51 ","$1,473.46 ","$2,407.16 ","$1,626.43 ","$1,762.65 ","$1,857.67 ","$1,909.23 ","$1,932.54 ","$1,920.94 ","$1,917.16 ","$1,933.60 ","$1,945.14 ","$1,943.05 "
395057,12,San Francisco,CA,"$2,964.48 ","$3,011.84 ","$2,875.65 ","$2,741.70 ","$2,743.01 ","$2,803.41 ","$2,914.02 ","$2,996.81 ","$3,053.28 ","$3,092.75 ","$3,117.18 ","$3,148.74 ","$3,156.91 ","$3,154.83 ","$3,151.27 "
395025,13,Riverside,CA,"$1,867.73 ","$1,867.29 ","$2,144.71 ","$2,006.85 ","$2,081.21 ","$2,190.87 ","$2,312.57 ","$2,399.87 ","$2,470.45 ","$2,527.86 ","$2,544.74 ","$2,557.73 ","$2,578.46 ","$2,578.15 ","$2,577.29 "
394532,14,Detroit,MI,"$1,112.52 ","$1,115.33 ","$1,137.13 ","$1,171.54 ","$1,201.03 ","$1,232.68 ","$1,273.41 ","$1,312.65 ","$1,338.57 ","$1,372.56 ","$1,389.53 ","$1,398.65 ","$1,415.90 ","$1,420.21 ","$1,419.92 "
395078,15,Seattle,WA,"$1,905.48 ","$2,011.27 ","$1,838.26 ","$1,813.91 ","$1,823.61 ","$1,893.91 ","$2,004.43 ","$2,098.64 ","$2,146.58 ","$2,187.67 ","$2,203.39 ","$2,217.72 ","$2,241.72 ","$2,244.33 ","$2,239.82 "
394865,16,Minneapolis,MN,"$1,495.40 ","$1,490.83 ","$1,485.12 ","$1,496.85 ","$1,499.72 ","$1,524.31 ","$1,558.27 ","$1,580.34 ","$1,602.82 ","$1,622.39 ","$1,635.21 ","$1,647.96 ","$1,662.78 ","$1,668.80 ","$1,669.81 "
395056,17,San Diego,CA,"$2,270.23 ","$2,252.22 ","$2,250.75 ","$2,301.00 ","$2,360.38 ","$2,439.91 ","$2,567.92 ","$2,714.47 ","$2,818.32 ","$2,919.03 ","$2,985.97 ","$3,009.95 ","$3,059.23 ","$3,088.12 ","$3,096.69 "
395148,18,Tampa,FL,"$1,427.05 ","$1,430.89 ","$1,439.07 ","$1,483.97 ","$1,538.36 ","$1,623.18 ","$1,775.42 ","$1,900.17 ","$1,974.81 ","$2,036.20 ","$2,047.91 ","$2,062.98 ","$2,105.55 ","$2,128.85 ","$2,131.26 "
394530,19,Denver,CO,"$1,692.61 ","$2,061.07 ","$1,789.38 ","$1,669.46 ","$1,690.40 ","$1,750.05 ","$1,847.79 ","$1,912.46 ","$1,955.83 ","$1,996.95 ","$2,005.93 ","$2,023.74 ","$2,052.49 ","$2,063.71 ","$2,062.45 "
394358,20,Baltimore,MD,"$1,500.30 ","$1,482.57 ","$1,483.50 ","$1,514.03 ","$1,541.20 ","$1,592.00 ","$1,664.31 ","$1,707.76 ","$1,735.03 ","$1,759.95 ","$1,762.92 ","$1,772.54 ","$1,791.58 ","$1,799.32 ","$1,799.55 "
395121,21,St. Louis,MO,"$1,085.30 ","$1,090.50 ","$1,099.41 ","$1,119.76 ","$1,132.53 ","$1,156.71 ","$1,190.51 ","$1,224.50 ","$1,260.43 ","$1,292.20 ","$1,316.45 ","$1,335.85 ","$1,354.79 ","$1,364.98 ","$1,371.79 "
394943,22,Orlando,FL,"$1,514.80 ","$1,506.51 ","$1,496.41 ","$1,512.19 ","$1,553.22 ","$1,621.24 ","$1,741.49 ","$1,864.21 ","$1,935.79 ","$2,003.40 ","$2,034.74 ","$2,047.29 ","$2,081.14 ","$2,096.55 ","$2,092.22 "
394458,23,Charlotte,NC,"$1,379.04 ","$1,369.58 ","$1,369.46 ","$1,395.37 ","$1,435.04 ","$1,496.06 ","$1,574.18 ","$1,655.51 ","$1,704.88 ","$1,753.70 ","$1,789.61 ","$1,806.37 ","$1,837.81 ","$1,854.71 ","$1,854.10 "
395055,24,San Antonio,TX,"$1,241.36 ","$1,233.76 ","$1,230.17 ","$1,248.66 ","$1,270.95 ","$1,309.78 ","$1,376.26 ","$1,433.98 ","$1,467.15 ","$1,499.20 ","$1,508.80 ","$1,513.55 ","$1,531.48 ","$1,536.68 ","$1,537.72 "
394998,25,Portland,OR,"$1,521.14 ","$1,504.04 ","$1,502.15 ","$1,521.45 ","$1,544.47 ","$1,592.62 ","$1,657.65 ","$1,712.26 ","$1,743.96 ","$1,792.59 ","$1,817.77 ","$1,834.44 ","$1,862.29 ","$1,865.73 ","$1,858.60 "
395045,26,Sacramento,CA,"$1,830.09 ","$1,830.06 ","$1,883.66 ","$1,922.49 ","$1,976.17 ","$2,043.99 ","$2,133.23 ","$2,193.45 ","$2,234.12 ","$2,265.14 ","$2,271.28 ","$2,276.15 ","$2,291.93 ","$2,302.63 ","$2,300.77 "
394982,27,Pittsburgh,PA,"$1,203.91 ","$1,203.47 ","$1,203.37 ","$1,215.16 ","$1,226.65 ","$1,255.03 ","$1,285.54 ","$1,316.06 ","$1,335.49 ","$1,363.94 ","$1,385.72 ","$1,400.42 ","$1,423.37 ","$1,428.25 ","$1,432.11 "
394466,28,Cincinnati,OH,"$1,164.65 ","$1,171.58 ","$1,184.02 ","$1,204.47 ","$1,227.49 ","$1,255.31 ","$1,290.77 ","$1,333.44 ","$1,365.98 ","$1,411.80 ","$1,447.34 ","$1,474.23 ","$1,505.54 ","$1,518.78 ","$1,525.62 "
394355,29,Austin,TX,"$1,501.40 ","$1,479.02 ","$1,444.52 ","$1,455.15 ","$1,502.99 ","$1,587.56 ","$1,715.80 ","$1,810.43 ","$1,848.44 ","$1,886.99 ","$1,894.06 ","$1,898.59 ","$1,917.64 ","$1,917.90 ","$1,910.08 "
394775,30,Las Vegas,NV,"$1,360.69 ","$1,348.46 ","$1,361.76 ","$1,419.48 ","$1,468.57 ","$1,553.70 ","$1,685.12 ","$1,781.93 ","$1,819.85 ","$1,838.42 ","$1,814.83 ","$1,793.02 ","$1,809.49 ","$1,816.96 ","$1,813.62 "
394735,31,Kansas City,MO,"$1,107.15 ","$1,117.14 ","$1,132.03 ","$1,154.04 ","$1,164.21 ","$1,197.79 ","$1,229.99 ","$1,260.54 ","$1,299.08 ","$1,330.56 ","$1,360.20 ","$1,387.56 ","$1,410.12 ","$1,421.67 ","$1,424.78 "
394492,32,Columbus,OH,"$1,202.73 ","$1,210.18 ","$1,222.49 ","$1,253.62 ","$1,267.31 ","$1,292.30 ","$1,330.91 ","$1,375.92 ","$1,408.72 ","$1,444.94 ","$1,471.45 ","$1,483.26 ","$1,513.71 ","$1,530.46 ","$1,535.01 "
394705,34,Indianapolis,IN,"$1,162.83 ","$1,182.01 ","$1,198.96 ","$1,222.46 ","$1,253.11 ","$1,281.13 ","$1,330.35 ","$1,380.38 ","$1,412.33 ","$1,459.27 ","$1,488.21 ","$1,511.28 ","$1,541.67 ","$1,552.35 ","$1,556.48 "
394475,35,Cleveland,OH,"$1,114.64 ","$1,123.59 ","$1,139.56 ","$1,154.59 ","$1,182.41 ","$1,206.14 ","$1,248.49 ","$1,281.58 ","$1,305.76 ","$1,344.70 ","$1,361.41 ","$1,385.03 ","$1,405.91 ","$1,410.74 ","$1,413.76 "
395059,36,San Jose,CA,"$3,126.35 ","$3,180.43 ","$3,045.84 ","$2,878.87 ","$2,861.71 ","$2,905.24 ","$3,008.74 ","$3,106.78 ","$3,175.31 ","$3,250.82 ","$3,305.76 ","$3,333.55 ","$3,359.32 ","$3,357.99 ","$3,355.35 "
394902,37,Nashville,TN,"$1,499.64 ","$1,499.26 ","$1,486.92 ","$1,500.20 ","$1,530.79 ","$1,588.07 ","$1,684.93 ","$1,773.34 ","$1,832.88 ","$1,878.45 ","$1,902.49 ","$1,918.19 ","$1,939.38 ","$1,951.37 ","$1,952.04 "
395194,38,Virginia Beach,VA,"$1,269.76 ","$1,273.50 ","$1,290.37 ","$1,324.34 ","$1,359.79 ","$1,417.72 ","$1,490.93 ","$1,536.54 ","$1,554.78 ","$1,586.25 ","$1,597.54 ","$1,619.44 ","$1,660.64 ","$1,676.76 ","$1,678.56 "
395005,39,Providence,RI,"$1,476.61 ","$1,489.69 ","$1,515.07 ","$1,565.71 ","$1,605.06 ","$1,657.96 ","$1,714.51 ","$1,767.78 ","$1,827.48 ","$1,874.04 ","$1,916.95 ","$1,948.80 ","$1,982.80 ","$2,008.08 ","$2,014.79 "
394714,40,Jacksonville,FL,"$1,299.28 ","$1,302.57 ","$1,309.47 ","$1,344.82 ","$1,391.16 ","$1,461.35 ","$1,568.22 ","$1,651.61 ","$1,706.10 ","$1,742.64 ","$1,752.71 ","$1,767.77 ","$1,793.39 ","$1,809.43 ","$1,816.06 "
394862,41,Milwaukee,WI,"$1,080.64 ","$1,084.59 ","$1,086.93 ","$1,097.61 ","$1,113.93 ","$1,134.74 ","$1,154.93 ","$1,179.22 ","$1,200.37 ","$1,221.35 ","$1,247.01 ","$1,265.00 ","$1,284.34 ","$1,298.25 ","$1,301.74 "
394935,42,Oklahoma City,OK,"$1,088.30 ","$1,090.47 ","$1,096.52 ","$1,121.68 ","$1,138.29 ","$1,171.85 ","$1,220.87 ","$1,254.85 ","$1,281.70 ","$1,309.53 ","$1,322.54 ","$1,334.76 ","$1,351.82 ","$1,356.75 ","$1,354.47 "
395012,43,Raleigh,NC,"$1,368.16 ","$1,500.73 ","$1,351.21 ","$1,380.77 ","$1,411.47 ","$1,470.19 ","$1,559.75 ","$1,632.18 ","$1,682.79 ","$1,723.21 ","$1,745.57 ","$1,760.64 ","$1,787.59 ","$1,804.95 ","$1,805.42 "
394849,44,Memphis,TN,"$1,103.79 ","$1,122.94 ","$1,153.74 ","$1,194.39 ","$1,222.75 ","$1,276.75 ","$1,328.22 ","$1,377.14 ","$1,412.11 ","$1,438.24 ","$1,460.01 ","$1,475.15 ","$1,499.65 ","$1,511.79 ","$1,511.37 "
395022,45,Richmond,VA,"$1,235.79 ","$1,233.60 ","$1,247.81 ","$1,272.04 ","$1,297.05 ","$1,347.80 ","$1,395.43 ","$1,449.90 ","$1,493.81 ","$1,530.66 ","$1,562.62 ","$1,579.75 ","$1,598.59 ","$1,606.24 ","$1,606.64 "
394807,46,Louisville,KY,"$1,054.12 ","$1,059.92 ","$1,074.67 ","$1,092.53 ","$1,099.16 ","$1,122.35 ","$1,146.73 ","$1,180.38 ","$1,218.01 ","$1,254.29 ","$1,285.98 ","$1,307.82 ","$1,329.14 ","$1,337.81 ","$1,341.29 "
394910,47,New Orleans,LA,"$1,384.09 ","$1,384.04 ","$1,390.74 ","$1,408.21 ","$1,417.64 ","$1,447.47 ","$1,496.84 ","$1,568.59 ","$1,625.93 ","$1,651.57 ","$1,668.41 ","$1,661.56 ","$1,664.88 ","$1,672.67 ","$1,675.47 "
395053,48,Salt Lake City,UT,"$1,325.02 ","$1,312.27 ","$1,319.42 ","$1,340.39 ","$1,372.60 ","$1,434.58 ","$1,511.91 ","$1,585.49 ","$1,649.13 ","$1,691.35 ","$1,714.24 ","$1,726.10 ","$1,726.43 ","$1,724.20 ","$1,717.83 "
394669,49,Hartford,CT,"$1,389.90 ","$1,396.01 ","$1,406.17 ","$1,443.25 ","$1,471.03 ","$1,499.47 ","$1,552.18 ","$1,600.51 ","$1,631.58 ","$1,674.58 ","$1,701.43 ","$1,722.69 ","$1,758.67 ","$1,779.23 ","$1,786.66 "
394425,50,Buffalo,NY,"$1,007.07 ","$1,019.18 ","$1,034.93 ","$1,057.77 ","$1,080.10 ","$1,103.19 ","$1,133.49 ","$1,165.33 ","$1,188.50 ","$1,221.63 ","$1,243.80 ","$1,260.64 ","$1,284.13 ","$1,291.36 ","$1,298.76 "
394388,51,Birmingham,AL,"$1,148.15 ","$1,161.98 ","$1,169.79 ","$1,193.09 ","$1,218.66 ","$1,236.06 ","$1,276.69 ","$1,315.04 ","$1,349.20 ","$1,372.00 ","$1,390.98 ","$1,405.74 ","$1,424.25 ","$1,449.19 ","$1,454.39 "
395031,52,Rochester,NY,"$1,136.28 ","$1,134.71 ","$1,145.16 ","$1,180.44 ","$1,226.41 ","$1,252.09 ","$1,287.23 ","$1,320.08 ","$1,337.66 ","$1,388.51 ","$1,419.13 ","$1,435.19 ","$1,456.05 ","$1,453.47 ","$1,454.93 "
394640,53,Grand Rapids,MI,"$1,162.00 ","$1,168.71 ","$1,177.80 ","$1,214.11 ","$1,232.36 ","$1,267.91 ","$1,320.90 ","$1,338.97 ","$1,391.36 ","$1,432.57 ","$1,456.98 ","$1,493.85 ","$1,509.78 ","$1,519.42 ","$1,523.28 "
395167,54,Tucson,AZ,"$1,159.04 ","$1,163.86 ","$1,187.23 ","$1,229.71 ","$1,265.05 ","$1,328.89 ","$1,398.04 ","$1,468.72 ","$1,517.35 ","$1,550.92 ","$1,570.39 ","$1,578.23 ","$1,600.98 ","$1,609.32 ","$1,616.56 "
753924,55,Urban Honolulu,HI,"$2,305.95 ","$2,278.43 ","$2,274.37 ","$2,290.39 ","$2,346.76 ","$2,405.16 ","$2,477.04 ","$2,546.72 ","$2,576.99 ","$2,616.43 ","$2,638.05 ","$2,658.67 ","$2,695.14 ","$2,711.99 ","$2,734.35 "
395169,56,Tulsa,OK,"$1,029.46 ","$1,034.45 ","$1,051.75 ","$1,075.05 ","$1,098.28 ","$1,134.74 ","$1,186.85 ","$1,235.54 ","$1,266.96 ","$1,302.92 ","$1,311.60 ","$1,316.40 ","$1,328.88 ","$1,323.08 ","$1,323.85 "
394619,57,Fresno,CA,"$1,475.16 ","$1,464.93 ","$1,483.22 ","$1,544.76 ","$1,603.72 ","$1,703.44 ","$1,816.86 ","$1,841.55 ","$1,869.91 ","$1,908.56 ","$1,911.75 ","$1,957.95 ","$1,996.45 ","$2,003.62 ","$2,005.75 "
395238,58,Worcester,MA,"$1,516.84 ","$1,514.70 ","$1,532.99 ","$1,568.63 ","$1,583.22 ","$1,625.17 ","$1,686.77 ","$1,749.65 ","$1,799.08 ","$1,865.14 ","$1,906.18 ","$1,932.96 ","$1,979.35 ","$1,995.29 ","$1,995.82 "
394938,59,Omaha,NE,"$1,039.77 ","$1,049.97 ","$1,059.87 ","$1,066.13 ","$1,080.78 ","$1,104.04 ","$1,139.24 ","$1,168.52 ","$1,188.02 ","$1,222.54 ","$1,243.98 ","$1,272.08 ","$1,304.52 ","$1,315.17 ","$1,320.94 "
394415,60,Bridgeport,CT,"$2,192.73 ","$2,212.59 ","$2,232.76 ","$2,309.95 ","$2,345.46 ","$2,412.15 ","$2,491.18 ","$2,540.69 ","$2,600.13 ","$2,679.00 ","$2,728.15 ","$2,761.50 ","$2,800.30 ","$2,797.50 ","$2,790.62 "
394653,61,Greenville,SC,"$1,202.61 ","$1,198.70 ","$1,181.93 ","$1,219.93 ","$1,247.46 ","$1,290.78 ","$1,351.75 ","$1,401.87 ","$1,431.73 ","$1,468.60 ","$1,502.71 ","$1,515.89 ","$1,546.80 ","$1,565.15 ","$1,562.24 "
